sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
EE-HM,EE,HM,1,TEC,Taille écran,Pouces,Inch,1,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,2,RET,Résolution / type,,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,3,ALIM,Alimentation,Volt,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,4,CONS,Constructeur,,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,5,COM,Interface communication,,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EL-CA,EL,CA,1,TYPE,Type,,,0,,Validé terrain,Eddy,CABLE [Type] [Nbr Conducteurs]X[Section/mm²] [Matière/Blindage]
EL-CA,EL,CA,2,SEC,Section des conducteurs,mm²,,1,,Validé terrain,Eddy,CABLE [Type] [Nbr Conducteurs]X[Section/mm²] [Matière/Blindage]
EL-CA,EL,CA,3,NBCD,Nbr conducteurs,Nos,Nos,0,,Validé terrain,Eddy,CABLE [Type] [Nbr Conducteurs]X[Section/mm²] [Matière/Blindage]
EL-CA,EL,CA,4,MAT,Matière,,,0,,Validé terrain,Eddy,CABLE [Type] [Nbr Conducteurs]X[Section/mm²] [Matière/Blindage]
EL-CA,EL,CA,5,BLI,Blindage,,,0,,Validé terrain,Eddy,CABLE [Type] [Nbr Conducteurs]X[Section/mm²] [Matière/Blindage]
EL-CO,EL,CO,1,TYPE,Type,,,0,,Validé terrain,Eddy,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
EL-CO,EL,CO,2,ICM,Intensité de coupure max,A,AMP,1,,Validé terrain,Eddy,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
EL-CO,EL,CO,3,TNB,Tension bobine,Volt,,0,,Validé terrain,Eddy,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
EL-CO,EL,CO,4,NBC,Nbr contacts,Nos,Nos,0,,Validé terrain,Eddy,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
EL-CO,EL,CO,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
EL-DI,EL,DI,1,TYPE,Type,,,0,"VIDE, BAIN D'HUILE, GAZ, MOTEUR, MANETTE",Validé terrain,Eddy,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
EL-DI,EL,DI,2,CAL,Calibre,A,AMP,1,,Validé terrain,Eddy,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
EL-DI,EL,DI,3,TEN,Tension,Volt,,0,,Validé terrain,Eddy,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
EL-DI,EL,DI,4,NBP,Nbr Pôles,Nos,Nos,0,,Validé terrain,Eddy,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
EL-DI,EL,DI,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
EL-FU,EL,FU,1,TYPE,Type,,,0,,Validé terrain,Eddy,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
EL-FU,EL,FU,2,CDP,Calibre de protection,A,AMP,1,,Validé terrain,Eddy,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
