sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
ME-VI,ME,VI,1,FTT,Forme de la tête,,,1,,Validé terrain,lokoli,VIS [Type: CHC/TH/FHC] M [Diamètre]X[Longueur]en mm [Matiere:Acier/Inox]
ME-VI,ME,VI,2,DIA,Diamètre,mm,Millimeter,0,,Validé terrain,lokoli,VIS [Type: CHC/TH/FHC] M [Diamètre]X[Longueur]en mm [Matiere:Acier/Inox]
ME-VI,ME,VI,3,LON,Longueur,mm,Millimeter,0,,Validé terrain,lokoli,VIS [Type: CHC/TH/FHC] M [Diamètre]X[Longueur]en mm [Matiere:Acier/Inox]
ME-VI,ME,VI,4,MAT,Matière,,,0,,Validé terrain,lokoli,VIS [Type: CHC/TH/FHC] M [Diamètre]X[Longueur]en mm [Matiere:Acier/Inox]
ME-VI,ME,VI,5,FIL,Filetage,,,0,,Validé terrain,lokoli,VIS [Type: CHC/TH/FHC] M [Diamètre]X[Longueur]en mm [Matiere:Acier/Inox]
PN-CO,PN,CO,1,TYPE,Type,,,0,,Validé terrain,Eddy,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
PN-CO,PN,CO,2,PMD,Puissance moteur ou débit,kW ou L/min,,1,,Validé terrain,Eddy,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
PN-CO,PN,CO,3,CCU,Capacité cuve,L,L,0,,Validé terrain,Eddy,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
PN-CO,PN,CO,4,PRE,Pression max,bar,Bar,0,,Validé terrain,Eddy,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
PN-CO,PN,CO,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
PN-DI,PN,DI,1,TYPE,Type,,,0,,Validé terrain,Eddy,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
PN-DI,PN,DI,2,DTC,Débit max ou tension commande,L/min ou Volt,,1,,Validé terrain,Eddy,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
PN-DI,PN,DI,3,NBV,Nbr voies,Nos,Nos,0,,Validé terrain,Eddy,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
PN-DI,PN,DI,4,TIR,Tiroir,,,0,,Validé terrain,Eddy,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
PN-DI,PN,DI,5,TNB,Tension bobine,Volt,,0,,Validé terrain,Eddy,DISTRIBUTEUR HYDRAULIQUE [Type] [Nbr Voies][Tiroir] [Tension Bobine]
PN-EV,PN,EV,1,FON,Fonction,,,0,,Validé terrain,Eddy,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
PN-EV,PN,EV,2,DDR,Diamètre de raccordement,mm / filetage,,1,,Validé terrain,Eddy,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
PN-EV,PN,EV,3,FIL,Filetage,,,0,,Validé terrain,Eddy,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
PN-EV,PN,EV,4,TNC,Tension commande,Volt,,0,,Validé terrain,Eddy,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
PN-EV,PN,EV,5,TYPE,Type,,,0,,Validé terrain,Eddy,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
PN-RA,PN,RA,1,TYPE,Type,,,0,,Validé terrain,Eddy,RACCORD PNEUMATIQUE [Type: INSTANT/NIPPLE] Ø[Tube] [Filetage]
PN-RA,PN,RA,2,DET,Diamètre extérieur du tube,mm,Millimeter,1,,Validé terrain,Eddy,RACCORD PNEUMATIQUE [Type: INSTANT/NIPPLE] Ø[Tube] [Filetage]
PN-RA,PN,RA,3,FIL,Filetage,,,0,,Validé terrain,Eddy,RACCORD PNEUMATIQUE [Type: INSTANT/NIPPLE] Ø[Tube] [Filetage]
PN-RA,PN,RA,4,MAT,Matière,,,0,,Validé terrain,Eddy,RACCORD PNEUMATIQUE [Type: INSTANT/NIPPLE] Ø[Tube] [Filetage]
PN-RA,PN,RA,5,FRM,Forme,,,0,,Validé terrain,Eddy,RACCORD PNEUMATIQUE [Type: INSTANT/NIPPLE] Ø[Tube] [Filetage]
PN-RE,PN,RE,1,FIL,Filetage,,,0,,Validé terrain,Eddy,REGULATEUR PRESSION [Filetage] [Plage/Bars] [Options: MANOMETRE/FILTRE]
PN-RE,PN,RE,2,PPM,Plage de pression maximale,bar,Bar,1,,Validé terrain,Eddy,REGULATEUR PRESSION [Filetage] [Plage/Bars] [Options: MANOMETRE/FILTRE]
PN-RE,PN,RE,3,OPT,Options,,,0,,Validé terrain,Eddy,REGULATEUR PRESSION [Filetage] [Plage/Bars] [Options: MANOMETRE/FILTRE]
PN-RE,PN,RE,4,TYPE,Type,,,0,,Validé terrain,Eddy,REGULATEUR PRESSION [Filetage] [Plage/Bars] [Options: MANOMETRE/FILTRE]
PN-RE,PN,RE,5,DEB,Débit,L/min,,0,,Validé terrain,Eddy,REGULATEUR PRESSION [Filetage] [Plage/Bars] [Options: MANOMETRE/FILTRE]
PN-TU,PN,TU,1,MAT,Matière,,,0,,Validé terrain,Eddy,TUBE PNEUMATIQUE [Matière: PU/PA] Ø[Extérieur]XØ[Intérieur] [Couleur]
PN-TU,PN,TU,2,DXI,Diamètre extérieur x intérieur,mm,Millimeter,1,,Validé terrain,Eddy,TUBE PNEUMATIQUE [Matière: PU/PA] Ø[Extérieur]XØ[Intérieur] [Couleur]
PN-TU,PN,TU,3,CLR,Couleur,,,0,,Validé terrain,Eddy,TUBE PNEUMATIQUE [Matière: PU/PA] Ø[Extérieur]XØ[Intérieur] [Couleur]
PN-TU,PN,TU,4,PRE,Pression max,bar,Bar,0,,Validé terrain,Eddy,TUBE PNEUMATIQUE [Matière: PU/PA] Ø[Extérieur]XØ[Intérieur] [Couleur]
PN-TU,PN,TU,5,LON,Longueur,mm,Millimeter,0,,Validé terrain,Eddy,TUBE PNEUMATIQUE [Matière: PU/PA] Ø[Extérieur]XØ[Intérieur] [Couleur]
PN-VE,PN,VE,1,TYPE,Type,,,0,,Validé terrain,Eddy,VERIN PNEUMATIQUE [Type: ISO/COMPACT] Ø[Alésage]X[Course] [Amortissement]
PN-VE,PN,VE,2,DAP,Diamètre alésage / piston,mm,Millimeter,1,,Validé terrain,Eddy,VERIN PNEUMATIQUE [Type: ISO/COMPACT] Ø[Alésage]X[Course] [Amortissement]
PN-VE,PN,VE,3,COU,Course,mm,Millimeter,0,,Validé terrain,Eddy,VERIN PNEUMATIQUE [Type: ISO/COMPACT] Ø[Alésage]X[Course] [Amortissement]
PN-VE,PN,VE,4,AMO,Amortissement,,,0,,Validé terrain,Eddy,VERIN PNEUMATIQUE [Type: ISO/COMPACT] Ø[Alésage]X[Course] [Amortissement]
PN-VE,PN,VE,5,RAC,Raccordement,,,0,,Validé terrain,Eddy,VERIN PNEUMATIQUE [Type: ISO/COMPACT] Ø[Alésage]X[Course] [Amortissement]
SE-AL,SE,AL,1,TYPE,Type,,,0,,Validé terrain,Blaise,ALARME SONORE [Type: SIRENE/BUZZER] [Puissance/dB] [Tension V]
SE-AL,SE,AL,2,PAC,Puissance acoustique,dB,,1,,Validé terrain,Blaise,ALARME SONORE [Type: SIRENE/BUZZER] [Puissance/dB] [Tension V]
SE-AL,SE,AL,3,TEN,Tension,Volt,,0,,Validé terrain,Blaise,ALARME SONORE [Type: SIRENE/BUZZER] [Puissance/dB] [Tension V]
SE-AL,SE,AL,4,MDS,Mode de signal,,,0,,Validé terrain,Blaise,ALARME SONORE [Type: SIRENE/BUZZER] [Puissance/dB] [Tension V]
SE-AL,SE,AL,5,FAB,Fabricant,,,0,,Validé terrain,Blaise,ALARME SONORE [Type: SIRENE/BUZZER] [Puissance/dB] [Tension V]
SE-EC,SE,EC,1,TYPE,Type,,,0,,Validé terrain,Blaise,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
SE-EC,SE,EC,2,PEN,Puissance électrique nominale,W,Watt,1,,Validé terrain,Blaise,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
SE-EC,SE,EC,3,TEN,Tension,Volt,,0,,Validé terrain,Blaise,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
SE-EC,SE,EC,4,FOR,Forme / format,,,0,,Validé terrain,Blaise,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
SE-EC,SE,EC,5,FAB,Fabricant,,,0,,Validé terrain,Blaise,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
SE-PM,SE,PM,1,TYPE,Type,,,0,,Validé terrain,Blaise,PROTECTION MACHINE [Type: CARTER/GRILLAGE/Switch] [Dimensions][Capteurs sécurité/Fin de course/dispositif d'arret d'urgence] [Matière][Tension]
SE-PM,SE,PM,2,MAF,Matériau / fonction,,,1,,Validé terrain,Blaise,PROTECTION MACHINE [Type: CARTER/GRILLAGE/Switch] [Dimensions][Capteurs sécurité/Fin de course/dispositif d'arret d'urgence] [Matière][Tension]
SE-PM,SE,PM,3,DIM,Dimensions,mm,Millimeter,0,,Validé terrain,Blaise,PROTECTION MACHINE [Type: CARTER/GRILLAGE/Switch] [Dimensions][Capteurs sécurité/Fin de course/dispositif d'arret d'urgence] [Matière][Tension]
SE-PM,SE,PM,4,CPS,Capteurs sécurité,,,0,,Validé terrain,Blaise,PROTECTION MACHINE [Type: CARTER/GRILLAGE/Switch] [Dimensions][Capteurs sécurité/Fin de course/dispositif d'arret d'urgence] [Matière][Tension]
SE-PM,SE,PM,5,TEN,Tension,Volt,,0,,Validé terrain,Blaise,PROTECTION MACHINE [Type: CARTER/GRILLAGE/Switch] [Dimensions][Capteurs sécurité/Fin de course/dispositif d'arret d'urgence] [Matière][Tension]
SE-SI,SE,SI,1,TYPE,Type,,,0,,Validé terrain,Blaise,SIGNALISATION [Type: VOYANT] [Couleur] [Tension V][ Forme]
SE-SI,SE,SI,2,CTA,Couleur ou type d'alerte,,,1,,Validé terrain,Blaise,SIGNALISATION [Type: VOYANT] [Couleur] [Tension V][ Forme]
SE-SI,SE,SI,3,TEN,Tension,Volt,,0,,Validé terrain,Blaise,SIGNALISATION [Type: VOYANT] [Couleur] [Tension V][ Forme]
SE-SI,SE,SI,4,FRM,Forme,,,0,,Validé terrain,Blaise,SIGNALISATION [Type: VOYANT] [Couleur] [Tension V][ Forme]
SE-SI,SE,SI,5,FAB,Fabricant,,,0,,Validé terrain,Blaise,SIGNALISATION [Type: VOYANT] [Couleur] [Tension V][ Forme]
