item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800071,1,TYPE,,,1,CS,CS-GC
100800071,2,GRA,,,0,CS,CS-GC
100800071,3,CND,,,0,CS,CS-GC
100800071,4,APP,,,0,CS,CS-GC
100800071,5,FAB,,,0,CS,CS-GC
100800076,1,TYPE,,,0,HY,HY-PO
100800076,2,DEB,,,1,HY,HY-PO
100800076,3,CYL,,,0,HY,HY-PO
100800076,4,PRE,,Bar,0,HY,HY-PO
100800076,5,LIQ,,,0,HY,HY-PO
100800078,1,TYPE,,,0,ME,ME-JO
100800078,2,DIA,,Millimeter,1,ME,ME-JO
100800078,3,DIM,,Millimeter,0,ME,ME-JO
100800078,4,MAT,,,0,ME,ME-JO
100800078,5,USG,,,0,ME,ME-JO
100800083,1,TYPE,,,0,EL,EL-RE
100800083,2,TDCB,,,1,EL,EL-RE
100800083,3,CRT,,AMP,0,EL,EL-RE
100800083,4,NBC,,Nos,0,EL,EL-RE
100800083,5,FAB,,,0,EL,EL-RE
100800093,1,TYPE,,,0,HY,HY-FI
100800093,2,SEU,,Micrometer,1,HY,HY-FI
100800093,3,RAC,,,0,HY,HY-FI
100800093,4,DEB,,,0,HY,HY-FI
100800093,5,FAB,,,0,HY,HY-FI
100800096,1,TYPE,,,0,SE,SE-EC
100800096,2,PEN,,Watt,1,SE,SE-EC
100800096,3,TEN,,,0,SE,SE-EC
100800096,4,FOR,,,0,SE,SE-EC
100800096,5,FAB,,,0,SE,SE-EC
100800097,1,TAL,,,0,IN,IN-VA
100800097,2,PMM,,Kilowatt,1,IN,IN-VA
100800097,3,MOD,,,0,IN,IN-VA
100800097,4,TEN,,,0,IN,IN-VA
100800097,5,FAB,,,0,IN,IN-VA
100800101,1,TYPE,,,0,HY,HY-VE
100800101,2,DAP,,Millimeter,1,HY,HY-VE
100800101,3,DGT,,Millimeter,0,HY,HY-VE
100800101,4,COU,,Millimeter,0,HY,HY-VE
100800101,5,PRE,,Bar,0,HY,HY-VE
100800102,1,TYPE,,,0,HY,HY-VE
100800102,2,DAP,,Millimeter,1,HY,HY-VE
100800102,3,DGT,,Millimeter,0,HY,HY-VE
100800102,4,COU,,Millimeter,0,HY,HY-VE
100800102,5,PRE,,Bar,0,HY,HY-VE
100800104,1,TYPE,,,0,HY,HY-VE
100800104,2,DAP,,Millimeter,1,HY,HY-VE
100800104,3,DGT,,Millimeter,0,HY,HY-VE
100800104,4,COU,,Millimeter,0,HY,HY-VE
100800104,5,PRE,,Bar,0,HY,HY-VE
100800105,1,TYPE,,,0,HY,HY-VE
100800105,2,DAP,,Millimeter,1,HY,HY-VE
100800105,3,DGT,,Millimeter,0,HY,HY-VE
100800105,4,COU,,Millimeter,0,HY,HY-VE
